timestamp,memory_mb
1764230192,8
[14:56:32] GPU Memory: 8 MB1764230193,8
[14:56:33] GPU Memory: 8 MB1764230194,8
[14:56:34] GPU Memory: 8 MB1764230195,8
[14:56:35] GPU Memory: 8 MB1764230196,8
[14:56:36] GPU Memory: 8 MB1764230197,8
[14:56:37] GPU Memory: 8 MB1764230198,11
[14:56:38] GPU Memory: 11 MB1764230199,11
[14:56:39] GPU Memory: 11 MB1764230200,11
[14:56:40] GPU Memory: 11 MB1764230201,11
[14:56:41] GPU Memory: 11 MB1764230202,11
[14:56:42] GPU Memory: 11 MB1764230204,11
[14:56:44] GPU Memory: 11 MB1764230205,11
[14:56:45] GPU Memory: 11 MB1764230206,11
[14:56:46] GPU Memory: 11 MB1764230207,11
[14:56:47] GPU Memory: 11 MB1764230208,11
[14:56:48] GPU Memory: 11 MB1764230209,11
[14:56:49] GPU Memory: 11 MB1764230210,11
[14:56:50] GPU Memory: 11 MB1764230211,11
[14:56:51] GPU Memory: 11 MB1764230212,11
[14:56:52] GPU Memory: 11 MB1764230213,11
[14:56:53] GPU Memory: 11 MB1764230214,11
[14:56:54] GPU Memory: 11 MB1764230215,11
[14:56:55] GPU Memory: 11 MB1764230216,11
[14:56:56] GPU Memory: 11 MB1764230217,11
[14:56:57] GPU Memory: 11 MB1764230218,11
[14:56:58] GPU Memory: 11 MB1764230219,11
[14:56:59] GPU Memory: 11 MB1764230220,11
[14:57:00] GPU Memory: 11 MB1764230221,11
[14:57:01] GPU Memory: 11 MB1764230222,11
[14:57:02] GPU Memory: 11 MB1764230223,11
[14:57:03] GPU Memory: 11 MB1764230224,11
[14:57:04] GPU Memory: 11 MB1764230225,11
[14:57:05] GPU Memory: 11 MB1764230226,11
[14:57:06] GPU Memory: 11 MB1764230227,11
[14:57:07] GPU Memory: 11 MB1764230228,11
[14:57:08] GPU Memory: 11 MB1764230229,11
[14:57:09] GPU Memory: 11 MB1764230230,11
[14:57:10] GPU Memory: 11 MB1764230231,11
[14:57:11] GPU Memory: 11 MB1764230232,11
[14:57:12] GPU Memory: 11 MB1764230233,11
[14:57:13] GPU Memory: 11 MB1764230234,11
[14:57:14] GPU Memory: 11 MB1764230235,11
[14:57:15] GPU Memory: 11 MB1764230236,11
[14:57:16] GPU Memory: 11 MB1764230237,11
[14:57:17] GPU Memory: 11 MB1764230238,11
[14:57:18] GPU Memory: 11 MB1764230239,11
[14:57:19] GPU Memory: 11 MB1764230240,11
[14:57:20] GPU Memory: 11 MB1764230241,11
[14:57:21] GPU Memory: 11 MB1764230242,11
[14:57:22] GPU Memory: 11 MB1764230243,437
[14:57:23] GPU Memory: 437 MB1764230244,639
[14:57:24] GPU Memory: 639 MB1764230245,8
[14:57:25] GPU Memory: 8 MB1764230246,8
[14:57:26] GPU Memory: 8 MB1764230247,8
[14:57:27] GPU Memory: 8 MB1764230248,8
[14:57:28] GPU Memory: 8 MB1764230249,8
[14:57:29] GPU Memory: 8 MB1764230250,8
[14:57:30] GPU Memory: 8 MB1764230251,8
[14:57:31] GPU Memory: 8 MB1764230252,8
[14:57:32] GPU Memory: 8 MB1764230254,8
[14:57:34] GPU Memory: 8 MB1764230255,8
[14:57:35] GPU Memory: 8 MB1764230256,8
[14:57:36] GPU Memory: 8 MB1764230257,8
[14:57:37] GPU Memory: 8 MB1764230258,8
[14:57:38] GPU Memory: 8 MB1764230259,8
[14:57:39] GPU Memory: 8 MB1764230260,8
[14:57:40] GPU Memory: 8 MB1764230261,8
[14:57:41] GPU Memory: 8 MB1764230262,8
[14:57:42] GPU Memory: 8 MB1764230263,8
[14:57:43] GPU Memory: 8 MB1764230264,8
[14:57:44] GPU Memory: 8 MB1764230265,8
[14:57:45] GPU Memory: 8 MB1764230266,8
[14:57:46] GPU Memory: 8 MB1764230267,8
[14:57:47] GPU Memory: 8 MB1764230268,8
[14:57:48] GPU Memory: 8 MB1764230269,8
[14:57:49] GPU Memory: 8 MB1764230270,8
[14:57:50] GPU Memory: 8 MB1764230271,8
[14:57:51] GPU Memory: 8 MB1764230272,8
[14:57:52] GPU Memory: 8 MB1764230273,8
[14:57:53] GPU Memory: 8 MB1764230274,8
[14:57:54] GPU Memory: 8 MB1764230275,8
[14:57:55] GPU Memory: 8 MB1764230276,8
[14:57:56] GPU Memory: 8 MB1764230277,8
[14:57:57] GPU Memory: 8 MB1764230278,8
[14:57:58] GPU Memory: 8 MB1764230279,8
[14:57:59] GPU Memory: 8 MB1764230280,8
[14:58:00] GPU Memory: 8 MB1764230281,8
[14:58:01] GPU Memory: 8 MB1764230282,8
[14:58:02] GPU Memory: 8 MB1764230283,8
[14:58:03] GPU Memory: 8 MB1764230284,8
[14:58:04] GPU Memory: 8 MB1764230285,8
[14:58:05] GPU Memory: 8 MB1764230286,8
[14:58:06] GPU Memory: 8 MB1764230287,8
[14:58:07] GPU Memory: 8 MB1764230288,8
[14:58:08] GPU Memory: 8 MB1764230289,8
[14:58:09] GPU Memory: 8 MB1764230290,8
[14:58:10] GPU Memory: 8 MB1764230291,8
[14:58:11] GPU Memory: 8 MB1764230292,8
[14:58:12] GPU Memory: 8 MB1764230293,8
[14:58:13] GPU Memory: 8 MB1764230294,8
[14:58:14] GPU Memory: 8 MB1764230295,8
[14:58:15] GPU Memory: 8 MB1764230296,8
[14:58:16] GPU Memory: 8 MB1764230297,8
[14:58:17] GPU Memory: 8 MB1764230298,8
[14:58:18] GPU Memory: 8 MB1764230299,8
[14:58:19] GPU Memory: 8 MB1764230300,8
[14:58:20] GPU Memory: 8 MB1764230302,8
[14:58:22] GPU Memory: 8 MB1764230303,8
[14:58:23] GPU Memory: 8 MB1764230304,8
[14:58:24] GPU Memory: 8 MB1764230305,8
[14:58:25] GPU Memory: 8 MB1764230306,8
[14:58:26] GPU Memory: 8 MB1764230307,8
[14:58:27] GPU Memory: 8 MB1764230308,8
[14:58:28] GPU Memory: 8 MB1764230309,8
[14:58:29] GPU Memory: 8 MB1764230310,8
[14:58:30] GPU Memory: 8 MB1764230311,8
[14:58:31] GPU Memory: 8 MB1764230312,8
[14:58:32] GPU Memory: 8 MB1764230313,8
[14:58:33] GPU Memory: 8 MB1764230314,8
[14:58:34] GPU Memory: 8 MB1764230315,8
[14:58:35] GPU Memory: 8 MB1764230316,8
[14:58:36] GPU Memory: 8 MB1764230317,8
[14:58:37] GPU Memory: 8 MB1764230318,8
[14:58:38] GPU Memory: 8 MB1764230319,8
[14:58:39] GPU Memory: 8 MB1764230320,8
[14:58:40] GPU Memory: 8 MB1764230321,8
[14:58:41] GPU Memory: 8 MB1764230322,8
[14:58:42] GPU Memory: 8 MB1764230323,8
[14:58:43] GPU Memory: 8 MB1764230324,8
[14:58:44] GPU Memory: 8 MB1764230325,8
[14:58:45] GPU Memory: 8 MB1764230326,8
[14:58:46] GPU Memory: 8 MB1764230327,8
[14:58:47] GPU Memory: 8 MB1764230328,8
[14:58:48] GPU Memory: 8 MB1764230329,8
[14:58:49] GPU Memory: 8 MB1764230330,8
[14:58:50] GPU Memory: 8 MB1764230331,8
[14:58:51] GPU Memory: 8 MB1764230332,8
[14:58:52] GPU Memory: 8 MB1764230333,8
[14:58:53] GPU Memory: 8 MB1764230334,8
[14:58:54] GPU Memory: 8 MB1764230335,8
[14:58:55] GPU Memory: 8 MB1764230336,8
[14:58:56] GPU Memory: 8 MB1764230337,8
[14:58:57] GPU Memory: 8 MB1764230338,8
[14:58:58] GPU Memory: 8 MB1764230339,8
[14:58:59] GPU Memory: 8 MB1764230340,8
[14:59:00] GPU Memory: 8 MB1764230341,8
[14:59:01] GPU Memory: 8 MB1764230342,8
[14:59:02] GPU Memory: 8 MB1764230343,8
[14:59:03] GPU Memory: 8 MB1764230344,8
[14:59:04] GPU Memory: 8 MB1764230345,8
[14:59:05] GPU Memory: 8 MB1764230346,8
[14:59:06] GPU Memory: 8 MB1764230347,8
[14:59:07] GPU Memory: 8 MB1764230348,8
[14:59:08] GPU Memory: 8 MB1764230349,8
[14:59:09] GPU Memory: 8 MB1764230351,8
[14:59:11] GPU Memory: 8 MB1764230352,8
[14:59:12] GPU Memory: 8 MB1764230353,8
[14:59:13] GPU Memory: 8 MB1764230354,8
[14:59:14] GPU Memory: 8 MB1764230355,8
[14:59:15] GPU Memory: 8 MB1764230356,8
[14:59:16] GPU Memory: 8 MB1764230357,8
[14:59:17] GPU Memory: 8 MB1764230358,8
[14:59:18] GPU Memory: 8 MB1764230359,8
[14:59:19] GPU Memory: 8 MB1764230360,8
[14:59:20] GPU Memory: 8 MB1764230361,8
[14:59:21] GPU Memory: 8 MB1764230362,8
[14:59:22] GPU Memory: 8 MB1764230363,8
[14:59:23] GPU Memory: 8 MB1764230364,8
[14:59:24] GPU Memory: 8 MB1764230365,8
[14:59:25] GPU Memory: 8 MB1764230366,8
[14:59:26] GPU Memory: 8 MB1764230367,8
[14:59:27] GPU Memory: 8 MB1764230368,8
[14:59:28] GPU Memory: 8 MB1764230369,8
[14:59:29] GPU Memory: 8 MB1764230370,8
[14:59:30] GPU Memory: 8 MB1764230371,8
[14:59:31] GPU Memory: 8 MB1764230372,8
[14:59:32] GPU Memory: 8 MB1764230373,8
[14:59:33] GPU Memory: 8 MB1764230374,8
[14:59:34] GPU Memory: 8 MB1764230375,8
[14:59:35] GPU Memory: 8 MB1764230376,8
[14:59:36] GPU Memory: 8 MB1764230377,8
[14:59:37] GPU Memory: 8 MB1764230378,8
[14:59:38] GPU Memory: 8 MB1764230379,8
[14:59:39] GPU Memory: 8 MB1764230380,8
[14:59:40] GPU Memory: 8 MB1764230381,8
[14:59:41] GPU Memory: 8 MB1764230382,8
[14:59:42] GPU Memory: 8 MB1764230383,8
[14:59:43] GPU Memory: 8 MB1764230384,8
[14:59:44] GPU Memory: 8 MB1764230385,8
[14:59:45] GPU Memory: 8 MB1764230386,8
[14:59:46] GPU Memory: 8 MB1764230387,8
[14:59:47] GPU Memory: 8 MB1764230388,8
[14:59:48] GPU Memory: 8 MB1764230389,8
[14:59:49] GPU Memory: 8 MB1764230390,8
[14:59:50] GPU Memory: 8 MB1764230391,8
[14:59:51] GPU Memory: 8 MB1764230392,8
[14:59:52] GPU Memory: 8 MB1764230393,8
[14:59:53] GPU Memory: 8 MB1764230394,8
[14:59:54] GPU Memory: 8 MB1764230395,8
[14:59:55] GPU Memory: 8 MB1764230396,8
[14:59:56] GPU Memory: 8 MB1764230397,8
[14:59:57] GPU Memory: 8 MB1764230399,8
[14:59:59] GPU Memory: 8 MB1764230400,8
[15:00:00] GPU Memory: 8 MB1764230401,8
[15:00:01] GPU Memory: 8 MB1764230402,8
[15:00:02] GPU Memory: 8 MB1764230403,8
[15:00:03] GPU Memory: 8 MB1764230404,8
[15:00:04] GPU Memory: 8 MB1764230405,8
[15:00:05] GPU Memory: 8 MB1764230406,8
[15:00:06] GPU Memory: 8 MB1764230407,8
[15:00:07] GPU Memory: 8 MB1764230408,8
[15:00:08] GPU Memory: 8 MB1764230409,8
[15:00:09] GPU Memory: 8 MB1764230410,8
[15:00:10] GPU Memory: 8 MB1764230411,8
[15:00:11] GPU Memory: 8 MB1764230412,8
[15:00:12] GPU Memory: 8 MB1764230413,8
[15:00:13] GPU Memory: 8 MB1764230414,8
[15:00:14] GPU Memory: 8 MB1764230415,8
[15:00:15] GPU Memory: 8 MB1764230416,8
[15:00:16] GPU Memory: 8 MB1764230417,8
[15:00:17] GPU Memory: 8 MB1764230418,8
[15:00:18] GPU Memory: 8 MB1764230419,8
[15:00:19] GPU Memory: 8 MB1764230420,8
[15:00:20] GPU Memory: 8 MB1764230421,8
[15:00:21] GPU Memory: 8 MB1764230422,8
[15:00:22] GPU Memory: 8 MB1764230423,8
[15:00:23] GPU Memory: 8 MB1764230424,8
[15:00:24] GPU Memory: 8 MB1764230425,8
[15:00:25] GPU Memory: 8 MB1764230426,8
[15:00:26] GPU Memory: 8 MB1764230427,8
[15:00:27] GPU Memory: 8 MB1764230428,8
[15:00:28] GPU Memory: 8 MB1764230429,8
[15:00:29] GPU Memory: 8 MB1764230430,8
[15:00:30] GPU Memory: 8 MB1764230431,8
[15:00:31] GPU Memory: 8 MB